"proyecto_id","proyecto","capacidad","fecha_estimada_fpo","energia_kwhdia","usuarios","inversion_estimada_cop","empleos_estimados","emisiones_co2_tonano","tipo_proyecto","municipio","codigo_municipio","departamento","codigo_departamento"
1,JEPIRACHI,18.420000076293945,2004-04-27,176832.0,30665,79206000000,51,51635.0,Eólico,Uribia,44847,La Guajira,44
2,AUTOG CELSIA SOLAR YUMBO,9.800000190734863,2017-03-09,47040.0,8157,42140000000,68,13736.0,Solar,Yumbo,76892,Valle Del Cauca,76
3,CELSIA SOLAR BOLIVAR,8.0600004196167,2019-02-01,38688.0,6709,34658000000,56,11297.0,Solar,Santa Rosa,13683,Bolívar,13
4,EL PASO SOLAR (ENEL GREEN POWER),67.0,2019-04-05,321600.0,55769,288100000000,466,93907.0,Solar,El Paso,20250,Cesar,20
5,SOLAR CASTILLA ECP,20.0,2019-10-10,96000.0,16647,86000000000,139,28032.0,Solar,Castilla La Nueva,50150,Meta,50
6,AGPE TECNOEMPAQUES DE OCCIDENTE,0.10000000149011612,2019-12-19,480.0,83,430000000,1,140.0,Solar,Cali,76001,Valle Del Cauca,76
7,RADAR FAC SAN ANDRÉS,0.009999999776482582,2019-12-30,48.0,8,43000000,0,14.0,Solar,San Andrés,88001,"Archipiélago De San Andrés, Providencia Y Santa Catalina",88
8,AGPE SFV MCDONALDS SOLEDAD,0.09000000357627869,2020-02-27,432.0,75,387000000,1,126.0,Solar,Soledad,8758,Atlántico,8
9,CELSIA SOLAR ESPINAL,9.899999618530273,2020-05-31,47520.0,8240,42570000000,69,13876.0,Solar,Espinal,73268,Tolima,73
10,FEDERACIÓN NACIONAL DE CAFETEROS,0.07999999821186066,2020-09-02,384.0,67,344000000,1,112.0,Solar,Ibagué,73001,Tolima,73
11,PANELES SOLARES ISA,0.25,2020-09-04,1200.0,208,1075000000,2,350.0,Solar,Medellín,5001,Antioquia,5
12,SENA PEDREGAL,0.20000000298023224,2020-09-04,960.0,166,860000000,1,280.0,Solar,Medellín,5001,Antioquia,5
13,UNGUÍA 181 HOGARES + 5 ESCUELAS,0.15000000596046448,2020-09-07,720.0,125,645000000,1,210.0,Solar,Unguía,27800,Chocó,27
14,BOSQUES SOLARES DE LOS LLANOS 1,19.899999618530273,2020-09-10,95520.0,16564,85570000000,139,27892.0,Solar,Puerto Gaitán,50568,Meta,50
15,BAYUNCA 1,3.0,2020-09-30,14400.0,2497,12900000000,21,4205.0,Solar,Cartagena De Indias,13001,Bolívar,13
16,PLASTICEL (AUTOCONSUMO),1.5,2020-10-01,7200.0,1249,6450000000,10,2102.0,Solar,Yumbo,76892,Valle Del Cauca,76
17,UTP,0.6000000238418579,2020-10-15,2880.0,499,2580000000,4,841.0,Solar,Pereira,66001,Risaralda,66
18,AEROPUERTO,0.550000011920929,2020-10-15,2640.0,458,2365000000,4,771.0,Solar,Pereira,66001,Risaralda,66
19,UKUMARI,0.23000000417232513,2020-10-15,1104.0,191,989000000,2,322.0,Solar,Pereira,66001,Risaralda,66
20,VIVA CERRITOS,0.20999999344348907,2020-10-15,1008.0,175,903000000,1,294.0,Solar,Pereira,66001,Risaralda,66
21,CENTRO COMERCIAL VICTORIA,0.20999999344348907,2020-10-15,1008.0,175,903000000,1,294.0,Solar,Pereira,66001,Risaralda,66
22,CENTRO COMERCIAL ALCIDES ARÉVALO,0.03999999910593033,2020-10-15,192.0,33,172000000,0,56.0,Solar,Pereira,66001,Risaralda,66
23,LICEO PINO VERDE,0.029999999329447746,2020-10-15,144.0,25,129000000,0,42.0,Solar,Pereira,66001,Risaralda,66
24,PÉTALO DE CÓRDOBA,9.899999618530273,2020-11-07,47520.0,8240,42570000000,69,13876.0,Solar,Planeta Rica,23555,Córdoba,23
25,CARMELO,9.899999618530273,2020-12-30,47520.0,8240,42570000000,69,13876.0,Solar,Candelaria,76130,Valle Del Cauca,76
26,BOSQUES SOLARES DE LOS LLANOS 2,19.899999618530273,2020-12-31,95520.0,16564,85570000000,139,27892.0,Solar,Puerto Gaitán,50568,Meta,50
27,BOSQUES SOLARES DE LOS LLANOS 3,19.899999618530273,2020-12-31,95520.0,16564,85570000000,139,27892.0,Solar,Puerto Gaitán,50568,Meta,50
28,GRUPO SEB,1.399999976158142,2020-12-31,6720.0,1165,6020000000,10,1962.0,Solar,Rionegro,5615,Antioquia,5
29,AUTOGENERACIÓN PINTUCO,1.7400000095367432,2021-01-26,8352.0,1448,7482000000,12,2439.0,Solar,Rionegro,5615,Antioquia,5
30,SOL DE INIRÍDA,2.25,2021-02-17,10800.0,1873,9675000000,16,3154.0,Solar,Inírida,94001,Guainía,94
31,EL SOL BRILLA PARA UNGUIA,0.8700000047683716,2021-02-18,4176.0,724,3741000000,6,1219.0,Solar,Unguía,27800,Chocó,27
32,COMPLEJO CENTRAL,0.17000000178813934,2021-03-31,816.0,142,731000000,1,238.0,Solar,Medellín,5001,Antioquia,5
33,PUERTO DE CARTAGENA,2.200000047683716,2021-03-31,10560.0,1831,9460000000,15,3084.0,Solar,Cartagena De Indias,13001,Bolívar,13
34,JOHNSON & JOHNSON,1.0,2021-03-31,4800.0,832,4300000000,7,1402.0,Solar,Yumbo,76892,Valle Del Cauca,76
35,ESSA GD Y AG (385 Proyectos),6.539999961853027,2022-05-31,31392.0,5444,28122000000,46,9166.0,Solar,Barrancabermeja,68081,Santander,68
36,CHEC GD Y AG (184 Proyectos),4.539999961853027,2022-05-31,21792.0,3779,19522000000,32,6363.0,Solar,Manizales,17001,Caldas,17
