"id","proyecto","tipo","capacidad","departamento","municipio","codigo_departamento","codigo_municipio","fecha_estimada_fpo","energia_kwhdia","usuarios","inversion_estimada_cop","empleos_estimados","emisiones_co2_tonano"
1,JEPIRACHI,Eólico,18.42,LA GUAJIRA,URIBIA,44,44847,2004-04-27 00:00:00.000,176832.0,30665,79206000000,51,51635.0
2,AUTOG CELSIA SOLAR YUMBO,Solar,9.8,VALLE DEL CAUCA,YUMBO,76,76892,2017-03-09 00:00:00.000,47040.0,8157,42140000000,68,13736.0
3,CELSIA SOLAR BOLIVAR,Solar,8.06,BOLÍVAR,SANTA ROSA,13,13683,2019-02-01 00:00:00.000,38688.0,6709,34658000000,56,11297.0
4,EL PASO SOLAR (ENEL GREEN POWER),Solar,67.0,CESAR,EL PASO,20,20250,2019-04-05 00:00:00.000,321600.0,55769,288100000000,466,93907.0
5,SOLAR CASTILLA ECP,Solar,20.0,META,CASTILLA LA NUEVA,50,50150,2019-10-10 00:00:00.000,96000.0,16647,86000000000,139,28032.0
6,AGPE TECNOEMPAQUES DE OCCIDENTE,Solar,0.1,VALLE DEL CAUCA,CALI,76,76001,2019-12-19 00:00:00.000,480.0,83,430000000,1,140.0
7,RADAR FAC SAN ANDRÉS,Solar,0.01,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",SAN ANDRÉS,88,88001,2019-12-30 00:00:00.000,48.0,8,43000000,0,14.0
8,AGPE SFV MCDONALDS SOLEDAD,Solar,0.09,ATLÁNTICO,SOLEDAD,8,8758,2020-02-27 00:00:00.000,432.0,75,387000000,1,126.0
9,CELSIA SOLAR ESPINAL,Solar,9.9,TOLIMA,ESPINAL,73,73268,2020-05-31 00:00:00.000,47520.0,8240,42570000000,69,13876.0
10,FEDERACIÓN NACIONAL DE CAFETEROS,Solar,0.08,TOLIMA,IBAGUÉ,73,73001,2020-09-02 00:00:00.000,384.0,67,344000000,1,112.0
11,PANELES SOLARES ISA,Solar,0.25,ANTIOQUIA,MEDELLÍN,5,5001,2020-09-04 00:00:00.000,1200.0,208,1075000000,2,350.0
12,SENA PEDREGAL,Solar,0.2,ANTIOQUIA,MEDELLÍN,5,5001,2020-09-04 00:00:00.000,960.0,166,860000000,1,280.0
13,UNGUÍA 181 HOGARES + 5 ESCUELAS,Solar,0.15,CHOCÓ,UNGUÍA,27,27800,2020-09-07 00:00:00.000,720.0,125,645000000,1,210.0
14,BOSQUES SOLARES DE LOS LLANOS 1,Solar,19.9,META,PUERTO GAITÁN,50,50568,2020-09-10 00:00:00.000,95520.0,16564,85570000000,139,27892.0
15,BAYUNCA 1,Solar,3.0,BOLÍVAR,CARTAGENA DE INDIAS,13,13001,2020-09-30 00:00:00.000,14400.0,2497,12900000000,21,4205.0
16,PLASTICEL (AUTOCONSUMO),Solar,1.5,VALLE DEL CAUCA,YUMBO,76,76892,2020-10-01 00:00:00.000,7200.0,1249,6450000000,10,2102.0
17,UTP,Solar,0.6,RISARALDA,PEREIRA,66,66001,2020-10-15 00:00:00.000,2880.0,499,2580000000,4,841.0
18,AEROPUERTO,Solar,0.55,RISARALDA,PEREIRA,66,66001,2020-10-15 00:00:00.000,2640.0,458,2365000000,4,771.0
19,UKUMARI,Solar,0.23,RISARALDA,PEREIRA,66,66001,2020-10-15 00:00:00.000,1104.0,191,989000000,2,322.0
20,VIVA CERRITOS,Solar,0.21,RISARALDA,PEREIRA,66,66001,2020-10-15 00:00:00.000,1008.0,175,903000000,1,294.0
21,CENTRO COMERCIAL VICTORIA,Solar,0.21,RISARALDA,PEREIRA,66,66001,2020-10-15 00:00:00.000,1008.0,175,903000000,1,294.0
22,CENTRO COMERCIAL ALCIDES ARÉVALO,Solar,0.04,RISARALDA,PEREIRA,66,66001,2020-10-15 00:00:00.000,192.0,33,172000000,0,56.0
23,LICEO PINO VERDE,Solar,0.03,RISARALDA,PEREIRA,66,66001,2020-10-15 00:00:00.000,144.0,25,129000000,0,42.0
24,PÉTALO DE CÓRDOBA,Solar,9.9,CÓRDOBA,PLANETA RICA,23,23555,2020-11-07 00:00:00.000,47520.0,8240,42570000000,69,13876.0
25,CARMELO,Solar,9.9,VALLE DEL CAUCA,CANDELARIA,76,76130,2020-12-30 00:00:00.000,47520.0,8240,42570000000,69,13876.0
26,BOSQUES SOLARES DE LOS LLANOS 2,Solar,19.9,META,PUERTO GAITÁN,50,50568,2020-12-31 00:00:00.000,95520.0,16564,85570000000,139,27892.0
27,BOSQUES SOLARES DE LOS LLANOS 3,Solar,19.9,META,PUERTO GAITÁN,50,50568,2020-12-31 00:00:00.000,95520.0,16564,85570000000,139,27892.0
28,GRUPO SEB,Solar,1.4,ANTIOQUIA,RIONEGRO,5,5615,2020-12-31 00:00:00.000,6720.0,1165,6020000000,10,1962.0
29,AUTOGENERACIÓN PINTUCO,Solar,1.74,ANTIOQUIA,RIONEGRO,5,5615,2021-01-26 00:00:00.000,8352.0,1448,7482000000,12,2439.0
30,SOL DE INIRÍDA,Solar,2.25,GUAINÍA,INÍRIDA,94,94001,2021-02-17 00:00:00.000,10800.0,1873,9675000000,16,3154.0
31,EL SOL BRILLA PARA UNGUIA,Solar,0.87,CHOCÓ,UNGUÍA,27,27800,2021-02-18 00:00:00.000,4176.0,724,3741000000,6,1219.0
32,COMPLEJO CENTRAL,Solar,0.17,ANTIOQUIA,MEDELLÍN,5,5001,2021-03-31 00:00:00.000,816.0,142,731000000,1,238.0
33,PUERTO DE CARTAGENA,Solar,2.2,BOLÍVAR,CARTAGENA DE INDIAS,13,13001,2021-03-31 00:00:00.000,10560.0,1831,9460000000,15,3084.0
34,JOHNSON & JOHNSON,Solar,1.0,VALLE DEL CAUCA,YUMBO,76,76892,2021-03-31 00:00:00.000,4800.0,832,4300000000,7,1402.0
35,ESSA GD Y AG (385 Proyectos),Solar,6.54,SANTANDER,BARRANCABERMEJA,68,68081,2022-05-31 00:00:00.000,31392.0,5444,28122000000,46,9166.0
36,CHEC GD Y AG (184 Proyectos),Solar,4.54,CALDAS,MANIZALES,17,17001,2022-05-31 00:00:00.000,21792.0,3779,19522000000,32,6363.0
37,GRANJA SOLAR BELMONTE,Solar,5.06,RISARALDA,PEREIRA,66,66001,2021-04-30 00:00:00.000,24288.0,4212,21758000000,35,7092.0
38,"CENTRO DE LA INDUSTRIA, LA EMPRESA Y LOS SERVICIOS - SEDE INDUSTRIA HUILA",Solar,0.06,HUILA,NEIVA,41,41001,2021-07-15 00:00:00.000,288.0,50,258000000,0,84.0
39,CENTRO DE GESTIÓN Y DESARROLLO AGROINDUSTRIAL DE ARAUCA,Solar,0.15,ARAUCA,ARAUCA,81,81001,2021-07-15 00:00:00.000,720.0,125,645000000,1,210.0
40,AFINIA GD Y AG (167 Proyectos),Solar,9.83,CÓRDOBA,MONTERÍA,23,23001,2022-05-31 00:00:00.000,47184.0,8182,42269000000,68,13778.0
41,EBSA GD Y AG (53 Proyectos),Solar,1.32,BOYACÁ,TUNJA,15,15001,2022-05-31 00:00:00.000,6336.0,1099,5676000000,9,1850.0
42,EPM GD Y AG (1469 Proyectos),Solar,23.92,ANTIOQUIA,MEDELLÍN,5,5001,2022-05-31 00:00:00.000,114816.0,19910,102856000000,166,33526.0
43,CELSIA GD Y AG (286 Proyectos),Solar,8.38,VALLE DEL CAUCA,CALI,76,76001,2022-05-31 00:00:00.000,40224.0,6975,36034000000,58,11745.0
44,ENEL GD Y AG (331 PROYECTOS),Solar,10.28,BOGOTÁ D.C.,BOGOTÁ D.C.,11,11001,2021-07-22 00:00:00.000,49344.0,8557,44204000000,72,14408.0
45,CENS GD Y AG (165 Proyectos),Solar,2.39,NORTE DE SANTANDER,SAN JOSÉ DE CÚCUTA,54,54001,2022-05-31 00:00:00.000,11472.0,1989,10277000000,17,3350.0
46,ENERCA GD Y AG,Solar,1.26,CASANARE,YOPAL,85,85001,2021-07-22 00:00:00.000,6048.0,1049,5418000000,9,1766.0
47,AIRE GD Y AG,Solar,12.1,ATLÁNTICO,BARRANQUILLA,8,8001,2021-07-22 00:00:00.000,58080.0,10072,52030000000,84,16959.0
48,LA PAILA,Solar,9.9,VALLE DEL CAUCA,ZARZAL,76,76895,2021-08-07 00:00:00.000,47520.0,8240,42570000000,69,13876.0
49,LA SIERPE SOLAR,Solar,19.9,SUCRE,SAN BENITO ABAD,70,70678,2021-08-31 00:00:00.000,95520.0,16564,85570000000,139,27892.0
50,SAN FERNANDO,Solar,61.0,META,CASTILLA LA NUEVA,50,50150,2021-10-22 00:00:00.000,292800.0,50775,262300000000,425,85498.0
51,COMPLEJO SOLAR RELIANZ CAT,Solar,1.85,ATLÁNTICO,GALAPA,8,8296,2021-11-25 00:00:00.000,8880.0,1540,7955000000,13,2593.0
52,ZONA FRANCA LA CAYENA,Solar,1.8,ATLÁNTICO,BARRANQUILLA,8,8001,2021-11-25 00:00:00.000,8640.0,1498,7740000000,13,2523.0
53,COMPLEJO SUR BOGOTÁ,Solar,0.3,BOGOTÁ D.C.,BOGOTÁ D.C.,11,11001,2021-12-10 00:00:00.000,1440.0,250,1290000000,2,420.0
54,CEO GD Y AG (34 Proyectos),Solar,10.02,CAUCA,POPAYÁN,19,19001,2022-05-31 00:00:00.000,48096.0,8340,43086000000,70,14044.0
55,EDEQ GD Y AG (64 Proyectos),Solar,1.13,QUINDÍO,ARMENIA,63,63001,2022-05-31 00:00:00.000,5424.0,941,4859000000,8,1584.0
56,ELECTROHUILA GD Y AG (125 Proyectos),Solar,2.35,HUILA,NEIVA,41,41001,2022-05-31 00:00:00.000,11280.0,1956,10105000000,16,3294.0
57,GR PARQUE SOLAR TUCANES,Solar,9.9,BOLÍVAR,CARTAGENA DE INDIAS,13,13001,2022-05-31 00:00:00.000,47520.0,8240,42570000000,69,13876.0
58,PARQUE EÓLICO GUAJIRA I,Eólico,19.9,LA GUAJIRA,URIBIA,44,44847,2021-12-31 00:00:00.000,191040.0,33128,85570000000,55,55784.0
59,LA LOMA SOLAR (ENEL GREEN POWER),Solar,170.0,CESAR,EL PASO,20,20250,2021-12-31 00:00:00.000,816000.0,141503,731000000000,1183,238272.0
60,DELPHI HELIOS 1 Fase 1,Solar,9.9,META,VILLAVICENCIO,50,50001,2022-02-23 00:00:00.000,47520.0,8240,42570000000,69,13876.0
61,Comando Aéreo No.1 de Palanquero,Solar,1.2,CALDAS,LA DORADA,17,17380,2022-03-06 00:00:00.000,21.0,4,5160000000,8,6.0
62,BOSQUES SOLARES DE LOS LLANOS 4,Solar,19.9,META,PUERTO GAITÁN,50,50568,2022-05-31 00:00:00.000,95520.0,16564,85570000000,139,27892.0
63,BOSQUES SOLARES DE LOS LLANOS 5,Solar,17.9,META,PUERTO GAITÁN,50,50568,2022-05-31 00:00:00.000,85920.0,14899,76970000000,125,25089.0
64,CABRESTERO,Solar,3.0,CASANARE,VILLANUEVA,85,85440,2022-04-15 00:00:00.000,14400.0,2497,12900000000,21,4205.0
65,LA MEDINA,Solar,9.9,TOLIMA,ARMERO,73,73055,2022-07-31 00:00:00.000,47520.0,8240,42570000000,69,13876.0
66,LOS CABALLEROS,Solar,9.9,TOLIMA,ARMERO,73,73055,2022-07-31 00:00:00.000,47520.0,8240,42570000000,69,13876.0
67,CERRITOS,Solar,9.9,TOLIMA,SAN SEBASTIÁN DE MARIQUITA,73,73443,2022-07-31 00:00:00.000,47520.0,8240,42570000000,69,13876.0
68,LA TOLUA,Solar,19.9,CÓRDOBA,CHINÚ,23,23182,2023-03-02 00:00:00.000,95520.0,16564,74625000000,139,27892.0
69,TIERRA LINDA,Solar,9.9,CÓRDOBA,CHINÚ,23,23182,2023-03-02 00:00:00.000,47520.0,8240,37125000000,69,13876.0
70,CSF SAN FELIPE (TRINA SOLAR),Solar,90.0,TOLIMA,ARMERO,73,73055,2023-06-01 00:00:00.000,432000.0,74913,337500000000,626,126144.0
71,ALMA SOLAR I,Solar,9.8,ARAUCA,ARAUCA,81,81001,2023-09-30 00:00:00.000,47040.0,8157,9800000,68,13736.0
72,SINCÉ,Solar,19.9,SUCRE,SAN LUIS DE SINCÉ,70,70742,2022-07-31 00:00:00.000,95520.0,16564,85570000000,139,27892.0
73,PLANETA RICA,Solar,19.9,CÓRDOBA,PLANETA RICA,23,23555,2022-12-31 00:00:00.000,95520.0,16564,74625000000,139,27892.0
74,CSF CARTAGO (TRINA SOLAR),Solar,99.0,VALLE DEL CAUCA,CARTAGO,76,76147,2023-07-01 00:00:00.000,475200.0,82405,371250000000,689,138758.0
75,GRANJA SOLAR KAIROS I,Solar,19.9,NORTE DE SANTANDER,SAN JOSÉ DE CÚCUTA,54,54001,2023-06-30 00:00:00.000,95520.0,16564,74625000000,139,27892.0
76,GRANJA SOLAR KAIROS II,Solar,19.9,NORTE DE SANTANDER,SAN JOSÉ DE CÚCUTA,54,54001,2023-06-30 00:00:00.000,95520.0,16564,74625000000,139,27892.0
77,GRANJA SOLAR KAIROS III,Solar,19.9,NORTE DE SANTANDER,SAN JOSÉ DE CÚCUTA,54,54001,2023-06-30 00:00:00.000,95520.0,16564,74625000000,139,27892.0
78,PÉTALO DEL MAGDALENA I,Solar,9.9,MAGDALENA,ZONA BANANERA,47,47980,2023-12-31 00:00:00.000,47520.0,8240,37125000000,69,13876.0
