"id","proyecto","capacidad","fecha_estimada_fpo","energia_kwhdia","usuarios","inversion_estimada_cop","empleos_estimados","emisiones_co2_tonano","id_tipo"
104,JEPIRACHI,18.42,2004-04-27,176832.0,30665,79206000000,51,51635.0,2
105,AUTOG CELSIA SOLAR YUMBO,9.8,2017-03-09,47040.0,8157,42140000000,68,13736.0,1
106,CELSIA SOLAR BOLIVAR,8.06,2019-02-01,38688.0,6709,34658000000,56,11297.0,1
107,EL PASO SOLAR (ENEL GREEN POWER),67.0,2019-04-05,321600.0,55769,288100000000,466,93907.0,1
108,SOLAR CASTILLA ECP,20.0,2019-10-10,96000.0,16647,86000000000,139,28032.0,1
109,AGPE TECNOEMPAQUES DE OCCIDENTE,0.1,2019-12-19,480.0,83,430000000,1,140.0,1
110,RADAR FAC SAN ANDRÉS,0.01,2019-12-30,48.0,8,43000000,0,14.0,1
111,AGPE SFV MCDONALDS SOLEDAD,0.09,2020-02-27,432.0,75,387000000,1,126.0,1
112,CELSIA SOLAR ESPINAL,9.9,2020-05-31,47520.0,8240,42570000000,69,13876.0,1
113,FEDERACIÓN NACIONAL DE CAFETEROS,0.08,2020-09-02,384.0,67,344000000,1,112.0,1
114,PANELES SOLARES ISA,0.25,2020-09-04,1200.0,208,1075000000,2,350.0,1
115,SENA PEDREGAL,0.2,2020-09-04,960.0,166,860000000,1,280.0,1
116,UNGUÍA 181 HOGARES + 5 ESCUELAS,0.15,2020-09-07,720.0,125,645000000,1,210.0,1
117,BOSQUES SOLARES DE LOS LLANOS 1,19.9,2020-09-10,95520.0,16564,85570000000,139,27892.0,1
118,BAYUNCA 1,3.0,2020-09-30,14400.0,2497,12900000000,21,4205.0,1
119,PLASTICEL (AUTOCONSUMO),1.5,2020-10-01,7200.0,1249,6450000000,10,2102.0,1
120,UTP,0.6,2020-10-15,2880.0,499,2580000000,4,841.0,1
121,AEROPUERTO,0.55,2020-10-15,2640.0,458,2365000000,4,771.0,1
122,UKUMARI,0.23,2020-10-15,1104.0,191,989000000,2,322.0,1
123,VIVA CERRITOS,0.21,2020-10-15,1008.0,175,903000000,1,294.0,1
124,CENTRO COMERCIAL VICTORIA,0.21,2020-10-15,1008.0,175,903000000,1,294.0,1
125,CENTRO COMERCIAL ALCIDES ARÉVALO,0.04,2020-10-15,192.0,33,172000000,0,56.0,1
126,LICEO PINO VERDE,0.03,2020-10-15,144.0,25,129000000,0,42.0,1
127,PÉTALO DE CÓRDOBA,9.9,2020-11-07,47520.0,8240,42570000000,69,13876.0,1
128,CARMELO,9.9,2020-12-30,47520.0,8240,42570000000,69,13876.0,1
129,BOSQUES SOLARES DE LOS LLANOS 2,19.9,2020-12-31,95520.0,16564,85570000000,139,27892.0,1
130,BOSQUES SOLARES DE LOS LLANOS 3,19.9,2020-12-31,95520.0,16564,85570000000,139,27892.0,1
131,GRUPO SEB,1.4,2020-12-31,6720.0,1165,6020000000,10,1962.0,1
132,AUTOGENERACIÓN PINTUCO,1.74,2021-01-26,8352.0,1448,7482000000,12,2439.0,1
133,SOL DE INIRÍDA,2.25,2021-02-17,10800.0,1873,9675000000,16,3154.0,1
134,EL SOL BRILLA PARA UNGUIA,0.87,2021-02-18,4176.0,724,3741000000,6,1219.0,1
135,COMPLEJO CENTRAL,0.17,2021-03-31,816.0,142,731000000,1,238.0,1
136,PUERTO DE CARTAGENA,2.2,2021-03-31,10560.0,1831,9460000000,15,3084.0,1
137,JOHNSON & JOHNSON,1.0,2021-03-31,4800.0,832,4300000000,7,1402.0,1
138,ESSA GD Y AG (385 Proyectos),6.54,2022-05-31,31392.0,5444,28122000000,46,9166.0,1
139,CHEC GD Y AG (184 Proyectos),4.54,2022-05-31,21792.0,3779,19522000000,32,6363.0,1
140,GRANJA SOLAR BELMONTE,5.06,2021-04-30,24288.0,4212,21758000000,35,7092.0,1
141,"CENTRO DE LA INDUSTRIA, LA EMPRESA Y LOS SERVICIOS - SEDE INDUSTRIA HUILA",0.06,2021-07-15,288.0,50,258000000,0,84.0,1
142,CENTRO DE GESTIÓN Y DESARROLLO AGROINDUSTRIAL DE ARAUCA,0.15,2021-07-15,720.0,125,645000000,1,210.0,1
143,AFINIA GD Y AG (167 Proyectos),9.83,2022-05-31,47184.0,8182,42269000000,68,13778.0,1
144,EBSA GD Y AG (53 Proyectos),1.32,2022-05-31,6336.0,1099,5676000000,9,1850.0,1
145,EPM GD Y AG (1469 Proyectos),23.92,2022-05-31,114816.0,19910,102856000000,166,33526.0,1
146,CELSIA GD Y AG (286 Proyectos),8.38,2022-05-31,40224.0,6975,36034000000,58,11745.0,1
147,ENEL GD Y AG (331 PROYECTOS),10.28,2021-07-22,49344.0,8557,44204000000,72,14408.0,1
148,CENS GD Y AG (165 Proyectos),2.39,2022-05-31,11472.0,1989,10277000000,17,3350.0,1
149,ENERCA GD Y AG,1.26,2021-07-22,6048.0,1049,5418000000,9,1766.0,1
150,AIRE GD Y AG,12.1,2021-07-22,58080.0,10072,52030000000,84,16959.0,1
151,LA PAILA,9.9,2021-08-07,47520.0,8240,42570000000,69,13876.0,1
152,LA SIERPE SOLAR,19.9,2021-08-31,95520.0,16564,85570000000,139,27892.0,1
153,SAN FERNANDO,61.0,2021-10-22,292800.0,50775,262300000000,425,85498.0,1
154,COMPLEJO SOLAR RELIANZ CAT,1.85,2021-11-25,8880.0,1540,7955000000,13,2593.0,1
155,ZONA FRANCA LA CAYENA,1.8,2021-11-25,8640.0,1498,7740000000,13,2523.0,1
156,COMPLEJO SUR BOGOTÁ,0.3,2021-12-10,1440.0,250,1290000000,2,420.0,1
157,CEO GD Y AG (34 Proyectos),10.02,2022-05-31,48096.0,8340,43086000000,70,14044.0,1
158,EDEQ GD Y AG (64 Proyectos),1.13,2022-05-31,5424.0,941,4859000000,8,1584.0,1
159,ELECTROHUILA GD Y AG (125 Proyectos),2.35,2022-05-31,11280.0,1956,10105000000,16,3294.0,1
160,GR PARQUE SOLAR TUCANES,9.9,2022-05-31,47520.0,8240,42570000000,69,13876.0,1
161,PARQUE EÓLICO GUAJIRA I,19.9,2021-12-31,191040.0,33128,85570000000,55,55784.0,2
162,LA LOMA SOLAR (ENEL GREEN POWER),170.0,2021-12-31,816000.0,141503,731000000000,1183,238272.0,1
163,DELPHI HELIOS 1 Fase 1,9.9,2022-02-23,47520.0,8240,42570000000,69,13876.0,1
164,Comando Aéreo No.1 de Palanquero,1.2,2022-03-06,21.0,4,5160000000,8,6.0,1
